site_id,name,suburb,price_cpl,fairness_score,rating,spatial_cluster,latitude,longitude,moran_p
61401774,Station Unknown,Unknown,166.33333333333334,-32.056700000000006,✅ Super Value,🟢 Cold Spot (Low-Low),-27.557625,153.015262,0.001
61401775,Station Unknown,Unknown,204.9,6.5099666666666565,❌ Rip-off Zone,🔴 Hot Spot (High-High),-27.562496,152.886875,0.035
61401777,Station Unknown,Unknown,166.83333333333334,-31.556700000000006,✅ Super Value,🟢 Cold Spot (Low-Low),-27.617782,153.094057,0.015
61401778,Station Unknown,Unknown,207.4,9.009966666666656,❌ Rip-off Zone,🔴 Hot Spot (High-High),-27.634994,152.916347,0.011
61401779,Station Unknown,Unknown,202.5666666666667,4.176633333333342,⚠️ Expensive,Neutral,-27.535062,153.266974,0.275
61401780,Station Unknown,Unknown,194.9,-3.4900333333333435,✅ Great Value,Neutral,-27.190235,153.018421,0.09
61401781,Station Unknown,Unknown,185.13333333333333,-13.256700000000023,✅ Great Value,🔵 Cold outlier (Low-High),-27.290068,152.984536,0.018
61401782,Station Unknown,Unknown,203.5666666666667,5.176633333333342,⚠️ Expensive,Neutral,-27.042111,152.975171,0.223
61401856,Station Unknown,Unknown,194.5666666666667,-3.823366666666658,✅ Great Value,Neutral,-27.007343,152.944651,0.478
61401858,Station Unknown,Unknown,202.9333333333333,4.5432999999999595,❌ Rip-off Zone,🔴 Hot Spot (High-High),-27.079253,152.951795,0.012
61401861,Station Unknown,Unknown,203.13333333333333,4.7432999999999765,❌ Rip-off Zone,🔴 Hot Spot (High-High),-27.084568,152.958178,0.012
61401862,Station Unknown,Unknown,207.73333333333335,9.3433,⚠️ Expensive,Neutral,-27.086965,152.980739,0.09
61401863,Station Unknown,Unknown,178.5666666666667,-19.823366666666658,✅ Great Value,Neutral,-27.072802,153.025162,0.352
61401866,Station Unknown,Unknown,206.73333333333335,8.3433,❌ Rip-off Zone,🔴 Hot Spot (High-High),-27.098137,152.94905576686477,0.019
61401868,Station Unknown,Unknown,205.0666666666667,6.676633333333342,❌ Rip-off Zone,🔴 Hot Spot (High-High),-27.112363,152.950651,0.004
61401881,Station Unknown,Unknown,199.9,1.5099666666666565,⚪ Fair Market,🟠 Hot outlier (High-Low),-27.595176,153.121695,0.005
61401886,Station Unknown,Unknown,192.66666666666666,-5.723366666666692,✅ Great Value,Neutral,-27.602084,153.056501,0.119
61401887,Station Unknown,Unknown,207.4,9.009966666666656,⚠️ Expensive,Neutral,-27.524198,153.253795,0.476
61401888,Station Unknown,Unknown,204.73333333333335,6.343299999999999,⚠️ Expensive,Neutral,-27.597824,152.949918,0.374
61401894,Station Unknown,Unknown,202.4,4.0099666666666565,❌ Rip-off Zone,🔴 Hot Spot (High-High),-27.281231,152.982252,0.012
61401899,Station Unknown,Unknown,207.23333333333335,8.8433,❌ Rip-off Zone,🔴 Hot Spot (High-High),-27.628223,152.883713,0.014
61401905,Station Unknown,Unknown,204.0666666666667,5.676633333333342,⚠️ Expensive,Neutral,-27.596746,152.949854,0.368
61401906,Station Unknown,Unknown,191.9,-6.4900333333333435,✅ Great Value,Neutral,-27.575708,153.087955,0.178
61401907,Station Unknown,Unknown,188.66666666666666,-9.723366666666692,✅ Great Value,Neutral,-27.317756,153.009186,0.132
61401908,Station Unknown,Unknown,204.23333333333335,5.843299999999999,⚠️ Expensive,Neutral,-27.383445,153.064113,0.347
61401910,Station Unknown,Unknown,206.9,8.509966666666656,⚠️ Expensive,🟠 Hot outlier (High-Low),-27.610975,153.067873,0.021
61401911,Station Unknown,Unknown,207.73333333333335,9.3433,⚠️ Expensive,Neutral,-27.572365,152.791976,0.152
61401912,Station Unknown,Unknown,181.96666666666667,-16.42336666666668,✅ Super Value,🟢 Cold Spot (Low-Low),-27.570459356616315,152.9810493558197,0.001
61401914,Station Unknown,Unknown,205.5666666666667,7.176633333333342,⚠️ Expensive,Neutral,-27.363889718122927,153.01311577315525,0.372
61401915,Station Unknown,Unknown,205.23333333333335,6.843299999999999,❌ Rip-off Zone,🔴 Hot Spot (High-High),-27.415386,152.977543,0.01
61401916,Station Unknown,Unknown,187.33333333333334,-11.056700000000006,✅ Super Value,🟢 Cold Spot (Low-Low),-27.58043314307124,153.02631481719666,0.001
61401917,Station Unknown,Unknown,181.42000000000002,-16.970033333333333,✅ Great Value,Neutral,-27.499065138785195,152.9674647949676,0.084
61401919,Station Unknown,Unknown,204.9,6.5099666666666565,⚠️ Expensive,🟠 Hot outlier (High-Low),-27.642988,153.100369,0.008
61401921,Station Unknown,Unknown,179.6,-18.790033333333355,✅ Super Value,🟢 Cold Spot (Low-Low),-27.597516,153.109135,0.028
61401922,Station Unknown,Unknown,206.4,8.009966666666656,❌ Rip-off Zone,🔴 Hot Spot (High-High),-27.085152,152.957808,0.014
61401923,Station Unknown,Unknown,202.73333333333335,4.343299999999999,⚠️ Expensive,Neutral,-27.475413,153.165772,0.098
61401924,Station Unknown,Unknown,206.23333333333335,7.843299999999999,⚠️ Expensive,Neutral,-27.326024,152.979019,0.09
61401926,Station Unknown,Unknown,193.5,-4.890033333333349,✅ Great Value,🔵 Cold outlier (Low-High),-27.546897,152.822363,0.009
61401928,Station Unknown,Unknown,207.0666666666667,8.676633333333342,⚠️ Expensive,Neutral,-27.547407,153.128337,0.178
61401929,Station Unknown,Unknown,206.23333333333335,7.843299999999999,❌ Rip-off Zone,🔴 Hot Spot (High-High),-27.499187,153.126507,0.004
61401930,Station Unknown,Unknown,208.23333333333335,9.8433,⚠️ Expensive,Neutral,-27.545381,153.121763,0.115
61401931,Station Unknown,Unknown,191.5666666666667,-6.823366666666658,✅ Great Value,Neutral,-27.676512,153.024581,0.21
61401934,Station Unknown,Unknown,214.0666666666667,15.676633333333342,❌ Rip-off Zone,🔴 Hot Spot (High-High),-27.264616,153.005048,0.04
61401938,Station Unknown,Unknown,174.5,-23.89003333333335,✅ Great Value,Neutral,-27.521129,153.199215,0.361
61401939,Station Unknown,Unknown,203.73333333333335,5.343299999999999,❌ Rip-off Zone,🔴 Hot Spot (High-High),-27.609654,152.902465,0.004
61401941,Station Unknown,Unknown,206.73333333333335,8.3433,⚠️ Expensive,Neutral,-27.446069,153.171941,0.488
61401943,Station Unknown,Unknown,201.9,3.5099666666666565,⚠️ Expensive,Neutral,-27.659403,153.028989,0.161
61401945,Station Unknown,Unknown,198.23333333333335,-0.15670000000000073,⚪ Fair Market,Neutral,-27.446338,153.042061,0.234
61401946,Station Unknown,Unknown,205.9,7.5099666666666565,⚠️ Expensive,Neutral,-27.679062,153.118267,0.271
61401951,Station Unknown,Unknown,206.9,8.509966666666656,⚠️ Expensive,Neutral,-27.561251,153.197803,0.232
61401954,Station Unknown,Unknown,207.23333333333335,8.8433,⚠️ Expensive,Neutral,-27.209295,153.042949,0.324
61401956,Station Unknown,Unknown,203.0666666666667,4.676633333333342,⚠️ Expensive,Neutral,-27.612973,152.798948,0.299
61401959,Station Unknown,Unknown,198.23333333333335,-0.15670000000000073,⚪ Fair Market,Neutral,-27.439346,153.030343,0.21
61401964,Station Unknown,Unknown,177.76666666666665,-20.623366666666698,✅ Great Value,Neutral,-27.578537,153.094318,0.195
61402086,Station Unknown,Unknown,204.4,6.0099666666666565,⚠️ Expensive,🟠 Hot outlier (High-Low),-27.640345,153.132893,0.005
61402090,Station Unknown,Unknown,206.0666666666667,7.676633333333342,❌ Rip-off Zone,🔴 Hot Spot (High-High),-27.456902,153.105682,0.021
61402091,Station Unknown,Unknown,207.9,9.509966666666656,⚠️ Expensive,Neutral,-27.292016,152.954828,0.111
