site_id,price_cpl,reported_at,region,latitude,longitude,scraped_at
61401461,199.9,2025-11-29T07:04:10.08,South,-27.601119,152.826338,2025-12-03 02:13:22
61401462,219.9,2025-11-24T14:01:00,South,-27.608598,152.897931,2025-12-03 02:13:22
61401471,219.9,2025-12-01T19:24:00,South,-27.612647,153.039653,2025-12-03 02:13:22
61401472,219.9,2025-11-23T23:50:08,South,-27.61142680060479,153.0635548637543,2025-12-03 02:13:22
61401473,189.9,2025-11-28T07:05:47.693,South,-27.624443,153.116876,2025-12-03 02:13:22
61401477,219.9,2025-12-01T19:24:00,South,-27.61011953521952,153.12405772883605,2025-12-03 02:13:22
61401478,219.9,2025-11-26T23:30:52.587,South,-27.63364586120715,153.13148941964337,2025-12-03 02:13:22
61401479,219.9,2025-12-01T19:24:00,South,-27.619142,153.104903,2025-12-03 02:13:22
61401480,219.9,2025-11-24T02:45:56.337,South,-27.644857,153.153469,2025-12-03 02:13:22
61401483,219.9,2025-12-01T19:24:00,South,-27.641222,153.107393,2025-12-03 02:13:22
61401485,215.9,2025-11-29T08:17:27,South,-27.637353,153.239623,2025-12-03 02:13:22
61401487,219.9,2025-11-21T03:59:47.437,South,-27.606017,153.288087,2025-12-03 02:13:22
61401492,179.9,2025-12-02T03:43:38,South,-27.619048,152.749764,2025-12-03 02:13:22
61401496,219.9,2025-11-29T00:30:15.337,South,-27.627612,152.743589,2025-12-03 02:13:22
61401497,182.9,2025-12-02T04:34:16.39,South,-27.644063607517694,152.75105032638933,2025-12-03 02:13:22
61401500,219.9,2025-11-24T14:01:00,South,-27.613641,152.792314,2025-12-03 02:13:22
61401502,189.5,2025-12-01T22:52:09,South,-27.621481,152.789444,2025-12-03 02:13:22
61401505,177.9,2025-12-01T22:20:09.9,South,-27.6552275199991,152.74757596772153,2025-12-03 02:13:22
61401506,219.9,2025-11-26T23:12:23,South,-27.660285,152.740233,2025-12-03 02:13:22
61401507,219.9,2025-11-26T23:05:41.823,South,-27.660171,152.739296,2025-12-03 02:13:22
61401508,219.9,2025-12-01T19:24:00,South,-27.644962,152.871677,2025-12-03 02:13:22
61401510,165.9,2025-11-21T00:24:22,South,-27.658841,153.116903,2025-12-03 02:13:22
61401512,219.9,2025-12-01T19:24:00,South,-27.680481,153.114522,2025-12-03 02:13:22
61401514,219.9,2025-11-24T14:01:00,South,-27.691549,153.134431,2025-12-03 02:13:22
61401517,219.9,2025-11-25T04:30:55.473,South,-27.663192,153.177483,2025-12-03 02:13:22
61401523,219.9,2025-11-29T00:30:15.337,North,-27.342121,153.010681,2025-12-03 02:13:22
61401530,219.9,2025-11-26T05:15:50.333,South,-27.496996,153.055324,2025-12-03 02:13:22
61401531,219.9,2025-11-23T06:20:47.423,South,-27.521101,153.211992,2025-12-03 02:13:22
61401534,219.9,2025-11-23T01:15:52.87,South,-27.595573,153.121562,2025-12-03 02:13:22
61401535,219.9,2025-11-24T00:30:58.553,South,-27.632655,153.047203,2025-12-03 02:13:22
61401537,219.9,2025-11-27T04:15:52.203,North,-27.369917,153.061735,2025-12-03 02:13:22
61401541,219.9,2025-11-26T21:20:11.2,North,-27.438408,153.066889,2025-12-03 02:13:22
61401543,219.9,2025-12-01T19:24:00,North,-27.296911,152.975214,2025-12-03 02:13:22
