site_id,latitude,longitude,name,postcode,suburb,display_brand,brand
61401272,-27.391747,153.011652,Shell Reddy Express Stafford Heights,4053,"Stafford Heights, Everton Hills, Mcdowall, Mitchelton, Stafford City, Stafford Dc, Oxford Park, Somerset Hills, Brookside Centre, Everton Park, Stafford Bc, Stafford",🟡 Shell,Shell
61401276,-27.364758,153.026257,7-Eleven Aspley,4034,"Carseldine, Aspley, Geebung, Zillmere, Boondall",🟠 7-Eleven,7-Eleven
61401279,-27.374203,153.061916,BP Connect Virginia,4014,"Virginia Bc, Virginia, Banyo, Virginia Dc, Nudgee Beach, Nudgee",🟢 BP,BP
61401280,-27.374166,153.035974,Shell Reddy Express Geebung,4034,"Carseldine, Aspley, Geebung, Zillmere, Boondall",🟡 Shell,Shell
61401281,-27.375007,153.024566,EG Ampol Chermside,4032,"Chermside South, Craigslea, Chermside Bc, Chermside Centre, Chermside, Chermside West",🔴 Ampol,Ampol
61401282,-27.379293,153.046309,BP Geebung,4034,"Carseldine, Aspley, Geebung, Zillmere, Boondall",🟢 BP,BP
61401288,-27.391946,153.058897,Caltex Nundah,4012,"Nundah, Wavell Heights, Wavell Heights North, Toombul",🔴 Ampol,Ampol
61401291,-27.398473,153.059252,Ampol Foodary Nundah,4012,"Nundah, Wavell Heights, Wavell Heights North, Toombul",🔴 Ampol,Ampol
61401292,-27.380227,153.022597,Ampol Foodary West Chermside,4032,"Chermside South, Craigslea, Chermside Bc, Chermside Centre, Chermside, Chermside West",🔴 Ampol,Ampol
61401296,-27.386791,153.087063,Freedom Fuels Nudgee,4014,"Virginia Bc, Virginia, Banyo, Virginia Dc, Nudgee Beach, Nudgee",⛽ Independent,Independent
61401298,-27.393208,153.072252,BP Northgate,4013,"Northgate Mc, Northgate",🟢 BP,BP
61401301,-27.396824,152.960709,Ampol Foodary Arana Hills,4054,"Grovely, Keperra, Arana Hills",🔴 Ampol,Ampol
61401302,-27.397654,152.958951,Shell Reddy Express Arana Hills,4054,"Grovely, Keperra, Arana Hills",🟡 Shell,Shell
61401307,-27.402342,152.937156,BP Ferny Grove,4055,"Ferny Hills Dc, Bunya, Ferny Hills, Kedron Upper, Ferny Grove, Upper Kedron",🟢 BP,BP
61401309,-27.401257,152.986898,Caltex Everton Park,4053,"Stafford Heights, Everton Hills, Mcdowall, Mitchelton, Stafford City, Stafford Dc, Oxford Park, Somerset Hills, Brookside Centre, Everton Park, Stafford Bc, Stafford",🔴 Ampol,Ampol
61401316,-27.409316,153.008034,BP Stafford,4053,"Stafford Heights, Everton Hills, Mcdowall, Mitchelton, Stafford City, Stafford Dc, Oxford Park, Somerset Hills, Brookside Centre, Everton Park, Stafford Bc, Stafford",🟢 BP,BP
61401323,-27.439192,152.989914,BP Express Ashgrove,4060,"Ashgrove East, St Johns Wood, Ashgrove West, Dorrington, Ashgrove",🟢 BP,BP
61401324,-27.438767,153.007379,7-Eleven Newmarket,4051,"Alderley, Newmarket, Wilston, The Grange, Gaythorne, Enoggera, Grange",🟠 7-Eleven,7-Eleven
61401325,-27.445435,153.008589,NightOwl Shell Kelvin Grove,4059,"Kelvin Grove Dc, Kelvin Grove Bc, Ballymore, Red Hill, Normanby, Kelvin Grove, Ithaca",🟡 Shell,Shell
61401328,-27.40208501541335,153.031880046627,BP Kedron,4031,"Kedron, Gordon Park, Glen Kedron",🟢 BP,BP
61401329,-27.407241,153.032891,Caltex Kedron,4031,"Kedron, Gordon Park, Glen Kedron",🔴 Ampol,Ampol
61401330,-27.408291,153.047525,Freedom Fuels Wooloowin,4030,"Wooloowin, Lutwyche, Eildon Hill, Windsor, Kalinga",⛽ Independent,Independent
