site_id,diff,strategy,discount_depth
61401375,11.705374204720576,Premium (Leader),-11.705374204720576
61401377,9.709213815640945,Premium (Leader),-9.709213815640945
61401380,4.901355473345518,Premium (Leader),-4.901355473345518
61401382,11.120223018717658,Premium (Leader),-11.120223018717658
61401386,-18.748201438848923,Discounter (Value),18.748201438848923
61401391,1.6517985611510824,Market Follower,-1.6517985611510824
61401393,0.0,Market Follower,-0.0
61401398,0.0,Market Follower,-0.0
61401399,11.705374204720576,Premium (Leader),-11.705374204720576
61401409,-1.0664179104477682,Market Follower,1.0664179104477682
61401411,1.6517985611510824,Market Follower,-1.6517985611510824
61401413,20.676744186046506,Premium (Leader),-20.676744186046506
61401417,10.48252255163636,Premium (Leader),-10.48252255163636
61401421,-33.18414411503031,Discounter (Value),33.18414411503031
61401422,11.705374204720576,Premium (Leader),-11.705374204720576
