site_id,price_cpl,reported_at,name,latitude,longitude,brand_id,postcode,region,state,scraped_at
61401302,239.9,2026-09-16T20:15:32.957,Shell Reddy Express Arana Hills,-27.397654,152.958951,3421193,4054,North,QLD,2026-09-18 15:24:48
61401535,232.9,2026-09-16T20:15:32.957,Shell Reddy Express Calamvale,-27.632655,153.047203,3421193,4116,South,QLD,2026-09-18 15:24:48
61402095,229.9,2026-09-16T20:15:32.957,Shell Reddy Express Deagon,-27.330699,153.047457,3421193,4017,North,QLD,2026-09-18 15:24:48
61402207,228.9,2026-09-16T20:19:08,BP Logandale,-27.670532,153.200911,5,4129,South,QLD,2026-09-18 15:24:48
61402226,241.9,2026-09-16T20:30:34.187,S24 The Gap,-27.44460750531628,152.952606,2,4061,North,QLD,2026-09-18 15:24:48
61401428,229.9,2026-09-16T20:35:20.957,Shell Reddy Express Rocklea,-27.560256,153.000988,3421193,4106,South,QLD,2026-09-18 15:24:48
61478248,233.9,2026-09-16T20:45:26.917,OTR Swanbank,-27.675319041570603,152.83636513523064,169,4306,South,QLD,2026-09-18 15:24:48
61477100,239.9,2026-09-16T20:53:58.327,BP Foodworks Tivoli,-27.588832509233157,152.77196181410352,5,4305,South,QLD,2026-09-18 15:24:48
61477716,236.9,2026-09-16T21:00:40.52,Shell Reddy Express Bremer,-27.620482,152.779606,3421193,4304,South,QLD,2026-09-18 15:24:48
61477709,233.9,2026-09-16T21:40:11.53,United Brendale,-27.326447,152.974796,23,4500,North,QLD,2026-09-18 15:24:48
61477882,235.9,2026-09-16T22:24:07.293,Ampol Morayfield,-27.119833,152.955668,3421066,4506,North,QLD,2026-09-18 15:24:48
61401531,235.9,2026-09-16T22:30:38.097,Shell Reddy Express Alexandra Hills,-27.521101,153.211992,3421193,4161,South,QLD,2026-09-18 15:24:48
61401238,239.9,2026-09-16T23:33:20,Red Dog Petroleum,-27.254478,152.982078,12,4503,North,QLD,2026-09-18 15:24:48
61401210,237.9,2026-09-17T00:05:04.207,NightOwl BP Holland Park,-27.515107,153.072439,5,4121,South,QLD,2026-09-18 15:24:48
61401733,239.9,2026-09-17T00:32:35.04,Caltex Narangba,-27.197201,152.984309,2,4504,North,QLD,2026-09-18 15:24:48
61477695,229.9,2026-09-17T00:37:13.543,Caltex Rocklea,-27.537417,153.003541,2,4106,South,QLD,2026-09-18 15:24:48
61478087,239.9,2026-09-17T00:38:01.777,Caltex Crestmead,-27.69378632229072,153.07724963194656,2,4132,South,QLD,2026-09-18 15:24:48
61401685,229.9,2026-09-17T00:40:39.373,Caltex Graceville,-27.524837,152.980789,2,4075,South,QLD,2026-09-18 15:24:48
61401371,219.9,2026-09-17T00:41:16.827,Caltex Wynnum,-27.45463473648407,153.16652018650822,2,4178,North,QLD,2026-09-18 15:24:48
61477971,235.9,2026-09-17T00:48:37.22,Ampol Wacol,-27.593553,152.922853,3421066,4076,South,QLD,2026-09-18 15:24:48
